04.07.2016 18:45:49,UV: 5;
04.07.2016 18:45:49, Vorhermessung;
04.07.2016 18:48:29,   ; 954    ; 8,306623;
04.07.2016 18:48:30,   ; 951    ; 8,062258;
04.07.2016 18:48:30,   ; 954    ; 7,81025;
04.07.2016 18:48:31,   ; 954    ; 5;
04.07.2016 18:48:32,   ; 930    ; 12,19631;
04.07.2016 18:48:33,   ; 925    ; 12,43986;
04.07.2016 18:48:34,   ; 939    ; 14,19507;
04.07.2016 18:48:35,   ; 964    ; 18,85471;
04.07.2016 18:48:36,   ; 958    ; 19,09188;
04.07.2016 18:48:37,   ; 935    ; 18,78164;
04.07.2016 18:48:38,   ; 935    ; 18,61451;
04.07.2016 18:48:39,   ; 936    ; 17,25543;
04.07.2016 18:48:40,   ; 944    ; 12,5499;
04.07.2016 18:48:41,   ; 945    ; 12,19631;
04.07.2016 18:48:42,   ; 929    ; 8,972179;
04.07.2016 18:48:42,   ; 931    ; 9,027735;
04.07.2016 18:48:43,   ; 932    ; 9,027735;
04.07.2016 18:48:44,   ; 943    ; 9,785192;
04.07.2016 18:48:45,   ; 943    ; 9,77241;
04.07.2016 18:48:46,   ; 936    ; 6,614378;
04.07.2016 18:48:47,   ; 928    ; 7,664855;
04.07.2016 18:48:48,   ; 927    ; 7,664855;
04.07.2016 18:48:49,   ; 936    ; 6,98212;
04.07.2016 18:48:50,   ; 947    ; 8,888194;
04.07.2016 18:48:52,   ; 952    ; 8,544003;
04.07.2016 18:48:53,   ; 941    ; 9,340771;
04.07.2016 18:48:54,   ; 938    ; 9,447222;
04.07.2016 18:48:54,   ; 942    ; 8,544003;
04.07.2016 18:48:55,   ; 944    ; 6,614378;
04.07.2016 18:48:56,   ; 952    ; 7,314369;
04.07.2016 18:48:57,   ; 937    ; 8,916277;
04.07.2016 18:48:58,   ; 931    ; 9,287087;
04.07.2016 18:48:59,   ; 937    ; 9,552486;
04.07.2016 18:49:00,   ; 947    ; 10,73546;
04.07.2016 18:49:01,   ; 945    ; 10,01249;
04.07.2016 18:49:02,   ; 932    ; 9,287087;
04.07.2016 18:49:03,   ; 927    ; 9,137834;
04.07.2016 18:49:04,   ; 928    ; 8,645808;
04.07.2016 18:49:04,   ; 937    ; 8,3666;
04.07.2016 18:49:05,   ; 960    ; 14,18626;
04.07.2016 18:49:06,   ; 972    ; 13,96424;
04.07.2016 18:49:07,   ; 949    ; 17,91647;
04.07.2016 18:49:08,   ; 958    ; 18,46618;
04.07.2016 18:49:09,   ; 950    ; 18,35075;
04.07.2016 18:49:10,   ; 942    ; 14,84924;
04.07.2016 18:49:11,   ; 943    ; 13,59228;
04.07.2016 18:49:12,   ; 914    ; 16,20956;
04.07.2016 18:49:12,   ; 905    ; 16,20956;
04.07.2016 18:49:14,   ; 908    ; 15,77973;
04.07.2016 18:49:15,   ; 913    ; 15,46771;
04.07.2016 18:49:15,   ; 919    ; 15,74802;
04.07.2016 18:49:16,   ; 916    ; 6,324555;
04.07.2016 18:49:16,   ; 904    ; 7,466592;
04.07.2016 18:49:17,   ; 910    ; 7,905694;
04.07.2016 18:49:18,   ; 909    ; 7,516648;
04.07.2016 18:49:19,   ; 919    ; 8,514693;
04.07.2016 18:49:20,   ; 910    ; 9,513149;
04.07.2016 18:49:21,   ; 888    ; 13,24764;
04.07.2016 18:49:22,   ; 893    ; 13,14344;
04.07.2016 18:49:22,   ; 900    ; 13,59228;
04.07.2016 18:49:23,   ; 904    ; 12,79648;
04.07.2016 18:49:24,   ; 928    ; 16,95583;
04.07.2016 18:49:25,   ; 941    ; 14,44818;
04.07.2016 18:49:26,   ; 941    ; 14,23025;
04.07.2016 18:49:27,   ; 939    ; 13,82932;
04.07.2016 18:49:29,   ; 962    ; 17,87456;
04.07.2016 18:49:29,   ; 967    ; 13,48147;
04.07.2016 18:49:30,   ; 944    ; 16,48484;
04.07.2016 18:49:31,   ; 932    ; 17,5428;
04.07.2016 18:49:32,   ; 937    ; 17,69181;
04.07.2016 18:49:33,   ; 936    ; 13,45362;
04.07.2016 18:49:33,   ; 937    ; 13,22876;
04.07.2016 18:49:34,   ; 939    ; 6,614378;
04.07.2016 18:49:35,   ; 923    ; 8,470537;
04.07.2016 18:49:36,   ; 922    ; 8,108638;
04.07.2016 18:49:37,   ; 936    ; 10,70047;
04.07.2016 18:49:38,   ; 967    ; 18,82817;
04.07.2016 18:49:40,   ; 960    ; 19,12459;
04.07.2016 18:49:40,   ; 959    ; 17,37815;
04.07.2016 18:49:41,   ; 943    ; 19,12459;
04.07.2016 18:49:42,   ; 946    ; 17,86057;
04.07.2016 18:49:43,   ; 946    ; 8,87412;
04.07.2016 18:49:44,   ; 968    ; 13,69306;
04.07.2016 18:49:45,   ; 959    ; 14,40486;
04.07.2016 18:49:45,   ; 937    ; 16,26346;
04.07.2016 18:49:46,   ; 952    ; 17,84657;
04.07.2016 18:49:47,   ; 949    ; 17,90949;
04.07.2016 18:49:48,   ; 966    ; 16,49242;
04.07.2016 18:49:49,   ; 955    ; 16,79286;
04.07.2016 18:49:50,   ; 952    ; 12,77693;
04.07.2016 18:49:51,   ; 953    ; 10,35616;
04.07.2016 18:49:52,   ; 956    ; 10,35616;
04.07.2016 18:49:53,   ; 947    ; 7,433034;
04.07.2016 18:49:54,   ; 958    ; 7,433034;
